"fips_state","state_code","state_name","group","vaxx_count","pct_of_vaxx_total","pct_of_vaxx_known","vaxx_total","vaccination_rate","state_residents","pct_of_state"
"26","MI","Michigan","raceeth_nhpi",1534,0.000346845615489302,0.00127475022291509,4422717,0.807368421052632,1900,0.000190250045634978
"26","MI","Michigan","raceeth_other",32321,0.00730795119832447,0.0268586714177566,4422717,0.118109430556215,273653,0.027401313546394
"26","MI","Michigan","raceeth_unknown",3219344,0.727910919916422,,4422717,,,
"26","MI","Michigan","raceeth_white",903648,0.204319652376582,0.750929262996594,4422717,0.121180830790204,7457021,0.746683466079468
"27","MN","Minnesota","raceeth_aian",9281,0.00329628958761752,0.0880775910337563,2815590,0.178721355671096,51930,0.00920804761729134
"27","MN","Minnesota","raceeth_asian",3401,0.00120791734592039,0.0322758201816405,2815590,0.0119997741883128,283422,0.0502554067357586
"27","MN","Minnesota","raceeth_black",4311,0.00153111781189733,0.0409118085278012,2815590,0.011882940221451,362789,0.0643284880999328
"27","MN","Minnesota","raceeth_hispanic",3834,0.00136170394126986,0.0363850322188796,2815590,0.0122017586572337,314217,0.0557158694042448
"27","MN","Minnesota","raceeth_nhpi",356,0.000126438863612955,0.00337847456179477,2815590,0.13598166539343,2618,0.000464214686348329
"27","MN","Minnesota","raceeth_other",1165,0.000413767629519923,0.0110559631025025,2815590,0.00674509894741718,172718,0.0306257571416007
"27","MN","Minnesota","raceeth_unknown",2710217,0.962575161866607,,2815590,,,
"27","MN","Minnesota","raceeth_white",83025,0.029487602953555,0.787915310373625,2815590,0.0186491815474519,4451938,0.789402216314823
"28","MS","Mississippi","raceeth_aian",3078,0.00318555715166895,0.00394350967236071,966236,0.236097261639948,13037,0.0043804930465511
"28","MS","Mississippi","raceeth_asian",10113,0.0104663870938363,0.0129566969839454,966236,0.327960825009729,30836,0.0103610403914589
"28","MS","Mississippi","raceeth_black",255582,0.264513017523669,0.327449671566373,966236,0.227148665763104,1125175,0.378064068700861
"28","MS","Mississippi","raceeth_hispanic",20323,0.0210331637405354,0.0260376696138358,966236,0.225452891516812,90143,0.0302884701001193
"28","MS","Mississippi","raceeth_nhpi",344,0.000356020682317777,0.000440730125825889,966236,1.96571428571429,175,0.0000588008194482198
"28","MS","Mississippi","raceeth_other",137489,0.142293394160433,0.176149837993243,966236,3.33233961075159,41259,0.0138632171977949
"28","MS","Mississippi","raceeth_unknown",185713,0.192202526090934,,966236,,,
"28","MS","Mississippi","raceeth_white",353594,0.365949933556605,0.453021884044416,966236,0.211034876253638,1675524,0.562983909743766
"29","MO","Missouri","raceeth_aian",3225,0.00132969018837072,0.00176837520041586,2425377,0.139369057908384,23140,0.00377030899588557
"29","MO","Missouri","raceeth_asian",48766,0.0201065648763058,0.0267400263638697,2425377,0.386179698759879,126278,0.0205750682533465
"29","MO","Missouri","raceeth_black",146141,0.0602549624243984,0.080133990748519,2425377,0.209576433066214,697316,0.113616974406869
"29","MO","Missouri","raceeth_hispanic",89598,0.0369418857357021,0.0491295755680186,2425377,0.338957531002444,264334,0.0430691814225764
"29","MO","Missouri","raceeth_nhpi",2046,0.000843580193924491,0.00112189012714755,2425377,0.241586964222458,8469,0.00137989398816573
"29","MO","Missouri","raceeth_other",123078,0.0507459252726483,0.0674877776486148,2425377,0.752812081398976,163491,0.0266383573053729
"29","MO","Missouri","raceeth_unknown",601669,0.248072361533898,,2425377,,,
"29","MO","Missouri","raceeth_white",1410854,0.581705029774753,0.773618364343415,2425377,0.290634063941991,4854400,0.790950215627784
"30","MT","Montana","raceeth_aian",31092,0.0684330306245075,0.0914260846041202,454342,0.481091786841617,64628,0.0604690590562306
"30","MT","Montana","raceeth_asian",2451,0.00539461462950817,0.00720717011979605,454342,0.282536023054755,8675,0.00811674641506468
"30","MT","Montana","raceeth_black",1187,0.0026125693860572,0.00349037573733085,454342,0.192476082373926,6167,0.00577014122670938
"30","MT","Montana","raceeth_hispanic",8801,0.0193708704015918,0.0258793570886679,454342,0.218235469152946,40328,0.0377328126140321
"30","MT","Montana","raceeth_nhpi",282,0.000620677815390169,0.000829221531531002,454342,1.25892857142857,224,0.00020958515238899
"30","MT","Montana","raceeth_other",50783,0.111772629428932,0.149327507218932,454342,1.57686694612638,32205,0.030132543895926
"30","MT","Montana","raceeth_unknown",114264,0.25149336843171,,454342,,,
"30","MT","Montana","raceeth_white",245482,0.540302239282303,0.721840283699622,454342,0.267832341026304,916551,0.857569111639648
"31","NE","Nebraska","raceeth_aian",6114,0.00697779522670416,0.00818308481150397,876208,0.422704646017699,14464,0.00747722300569477
"31","NE","Nebraska","raceeth_asian",21392,0.0244142943228092,0.028631427917516,876208,0.451412775116588,47389,0.0244979342517194
"31","NE","Nebraska","raceeth_black",26139,0.0298319577086719,0.0349848959581129,876208,0.28394364361211,92057,0.0475892366036534
"31","NE","Nebraska","raceeth_hispanic",60273,0.068788461187298,0.0806704401118382,876208,0.27462728730772,219472,0.113456933594154
"31","NE","Nebraska","raceeth_nhpi",842,0.000960959041688731,0.00112694756481622,876208,0.485862665897288,1733,0.000895881323898578
"31","NE","Nebraska","raceeth_other",23145,0.0264149608312182,0.0309776738570918,876208,0.531616785722489,43537,0.0225066273505899
"31","NE","Nebraska","raceeth_unknown",129057,0.147290369410003,,876208,,,
"31","NE","Nebraska","raceeth_white",609246,0.695321202271607,0.815425529779121,876208,0.401942001219194,1515756,0.78357616387029
"32","NV","Nevada","raceeth_aian",8464,0.00644408779308266,0.00926078902710291,1313452,0.304778365921285,27771,0.0090161017818578
"32","NV","Nevada","raceeth_asian",92704,0.070580424712894,0.101431023862069,1313452,0.361126260186671,256708,0.0833425320016259
"32","NV","Nevada","raceeth_black",51053,0.0388693305884037,0.0558590574433701,1313452,0.178901702707722,285369,0.092647580187497
"32","NV","Nevada","raceeth_hispanic",232266,0.176836306161169,0.254131193781792,1313452,0.257901685433806,900599,0.292387463492109
"32","NV","Nevada","raceeth_nhpi",7070,0.00538276236969451,0.00773555983242173,1313452,0.350816255644321,20153,0.00654285042705629
"32","NV","Nevada","raceeth_other",97653,0.0743483583716801,0.106845915744764,1313452,0.842061240503928,115969,0.0376503657606952
"32","NV","Nevada","raceeth_unknown",399491,0.304153482578731,,1313452,,,
"32","NV","Nevada","raceeth_white",424751,0.323385247424344,0.464736460308481,1313452,0.288242906594589,1473587,0.478413106349159
"33","NH","New Hampshire","raceeth_aian",1332,0.00167190286897026,0.00206925478864706,796697,0.874015748031496,1524,0.00112082641090644
"33","NH","New Hampshire","raceeth_asian",19358,0.0242978196227675,0.0300725481971695,796697,0.541315958725986,35761,0.0263004417850558
"33","NH","New Hampshire","raceeth_black",5058,0.00634871224568437,0.00785757561634898,796697,0.259797626996764,19469,0.0143184838542896
"33","NH","New Hampshire","raceeth_hispanic",17111,0.0214774249181307,0.0265818458622672,796697,0.315805987228231,54182,0.039848173619247
"33","NH","New Hampshire","raceeth_nhpi",740,0.000928834927205701,0.00114958599369281,796697,1.10944527736132,667,0.00049054541737178
"33","NH","New Hampshire","raceeth_other",7861,0.00986698832805948,0.012212020941107,796697,0.270686271133914,29041,0.0213582150912951
"33","NH","New Hampshire","raceeth_unknown",152987,0.192026579741106,,796697,,,
"33","NH","New Hampshire","raceeth_white",592250,0.743381737348076,0.920057168600767,796697,0.485822354308664,1219067,0.896563313821834
"34","NJ","New Jersey","raceeth_aian",9019,0.00188947800211008,0.00244195913407517,4773276,0.973868912644423,9261,0.00104264826579931
"34","NJ","New Jersey","raceeth_asian",423782,0.0887822116299162,0.114742025252982,4773276,0.499142540811759,849020,0.0955867865920454
"34","NJ","New Jersey","raceeth_black",282469,0.0591771772677716,0.0764805138754939,4773276,0.251163258029437,1124643,0.126617759809236
"34","NJ","New Jersey","raceeth_hispanic",624869,0.130909882437135,0.169187777153833,4773276,0.336521896011783,1856845,0.20905260977304
"34","NJ","New Jersey","raceeth_nhpi",6598,0.00138227917262693,0.00178645596702827,4773276,2.43109801031688,2714,0.000305555274093439
